ou_mean,ou_std,IT5A_V_num_-200_0,IT5A_V_mean_-200_0,IT5A_V_median_-200_0,IT5A_V_num_-200_-70,IT5A_V_mean_-200_-70,IT5A_V_median_-200_-70,IT5A_V_num_-70_-50,IT5A_V_mean_-70_-50,IT5A_V_median_-70_-50,IT5A_V_num_-50_0,IT5A_V_mean_-50_0,IT5A_V_median_-50_0
0.0436842105263157,0.0094736842105263,319996,-22.651842017745984,-22.72646315518723,0,,,0,,,319996,-22.651842017745984,-22.72646315518723
0.05,0.0142105263157894,319996,-22.119680846028555,-22.233914193812595,0,,,0,,,319996,-22.119680846028555,-22.233914193812595
-0.01,0.0173684210526315,319988,-96.52460352138843,-96.4948475005674,319235,-96.59658544567029,-96.52426612022883,740,-66.69316962555374,-67.23099741780266,13,-26.99471773744172,-27.05199900787581
0.0057894736842105,0.0063157894736842,319684,-70.86515904260976,-70.85222763621525,188451,-73.54276617663217,-72.96121322710968,130670,-67.17248734698869,-67.76777710023083,563,-31.65320247626655,-35.61979700470434
-0.01,0.001578947368421,319996,-97.36077128342794,-97.35731078041074,319996,-97.36077128342794,-97.35731078041074,0,,,0,,
-0.0068421052631578,0.0221052631578947,319843,-91.77187525091612,-91.70445605159756,308890,-92.71496282530791,-92.23307473902614,10711,-65.99075990347319,-66.77324663631221,242,-29.09090679050256,-31.53762610336848
0.0310526315789473,0.03,319996,-23.258786456887325,-23.510351413393458,0,,,0,,,319996,-23.258786456887325,-23.510351413393458
0.0247368421052631,0.0126315789473684,315917,-31.533087196570776,-24.474062805245623,3403,-72.1621178084809,-71.34303428343831,56678,-62.25459733856415,-62.6926049279383,255836,-24.18660607976067,-24.08246576115249
0.0121052631578947,0.0205263157894736,316961,-36.37584372579967,-25.762593468232865,35116,-76.39156252770411,-74.97996325511853,47502,-63.49073899974975,-64.20723204107347,234343,-24.883271996535925,-24.85641909756089
0.0152631578947368,0.0221052631578947,318656,-27.50174496806071,-24.83260186982433,5735,-73.93293231076439,-72.96036818535994,16906,-63.05644645232781,-63.83555029234424,296015,-24.57158723043448,-24.62465175341835
0.0247368421052631,0.03,319996,-23.70520937096531,-23.92530240133746,0,,,0,,,319996,-23.70520937096531,-23.92530240133746
0.0184210526315789,0.0094736842105263,313073,-65.67822976005571,-67.10740187441655,95036,-73.07582849926074,-72.58299268780829,205564,-64.3258502300878,-65.11844808266918,12473,-31.601612420140643,-35.282457549996415
0.0278947368421052,0.0268421052631578,319996,-23.552374668297396,-23.747538433931524,0,,,0,,,319996,-23.552374668297396,-23.747538433931524
0.0121052631578947,0.0031578947368421,316048,-67.48850447221874,-68.32443136300257,131404,-73.62300071461634,-73.68175436957685,177409,-64.38628277463943,-64.87322123549396,7235,-32.1415390140057,-36.379661794872014
0.0152631578947368,0.03,319698,-25.858488789248675,-24.632688969414982,5715,-82.03139349575441,-78.57706313652297,3704,-63.50251541955239,-64.51506288725497,310279,-24.37446433049922,-24.52200506395779
0.0310526315789473,0.0173684210526315,319996,-23.493176423902558,-23.59564749940329,0,,,0,,,319996,-23.493176423902558,-23.59564749940329
0.0089473684210526,0.0126315789473684,317088,-69.88994512702467,-71.47424781456034,183128,-76.35310136004875,-75.57548985081979,120032,-64.96137935180464,-65.78709791212839,13928,-27.38568984916548,-25.430101759310517
0.0247368421052631,0.0142105263157894,318173,-31.003913304417285,-24.429187678173044,13817,-73.57354073673382,-72.79897245701542,38417,-63.55524109413258,-64.23006975249558,265939,-24.089888276385256,-24.063562497152578
0.0247368421052631,0.0094736842105263,310029,-51.91544407592574,-61.18186689064116,23317,-72.2994778030139,-71.78672259961034,189799,-62.99463017214958,-63.43992338942419,96913,-25.313100156206993,-24.21040550459592
-0.0068421052631578,0.0110526315789473,319996,-92.25737996351262,-92.23959149959515,319943,-92.26132907421561,-92.2409221769282,53,-68.41793985688811,-68.90015785560932,0,,
0.05,0.0078947368421052,319996,-22.180564307735935,-22.241149924831326,0,,,0,,,319996,-22.180564307735935,-22.241149924831326
0.0342105263157894,0.0157894736842105,319996,-23.286181311682864,-23.379557555659893,0,,,0,,,319996,-23.286181311682864,-23.379557555659893
0.0405263157894736,0.0094736842105263,319996,-22.88841219404354,-22.949441881683796,0,,,0,,,319996,-22.88841219404354,-22.949441881683796
-0.0005263157894736,0.0047368421052631,319996,-81.98861610086553,-81.97624866076433,319996,-81.98861610086553,-81.97624866076433,0,,,0,,
0.0405263157894736,0.0189473684210526,319996,-22.774434387905696,-22.921740652616542,0,,,0,,,319996,-22.774434387905696,-22.921740652616542
0.0468421052631579,0.0205263157894736,319996,-22.275860508683653,-22.44880667001378,0,,,0,,,319996,-22.275860508683653,-22.44880667001378
-0.0005263157894736,0.0,319996,-82.13021713911006,-82.13021711870616,319996,-82.13021713911006,-82.13021711870616,0,,,0,,
-0.0005263157894736,0.0189473684210526,319364,-82.65967461608945,-82.57356971348617,287670,-84.66036307456015,-83.87752736907578,30662,-65.66212539083467,-66.6668617197821,1032,-29.98603653129316,-32.79930937992812
0.05,0.0236842105263157,319996,-21.986212612048117,-22.217903966825734,0,,,0,,,319996,-21.986212612048117,-22.217903966825734
-0.0036842105263157,0.0,319996,-87.61606893649044,-87.61606887090127,319996,-87.61606893649044,-87.61606887090127,0,,,0,,
0.0026315789473684,0.0173684210526315,318872,-78.18075962077577,-78.22419908276706,260277,-81.28028323937177,-80.39905619972433,56726,-65.53787800391252,-66.52197466598595,1869,-30.264972419529084,-33.07454930834773
0.0342105263157894,0.0173684210526315,319996,-23.264546053293948,-23.37685016442997,0,,,0,,,319996,-23.264546053293948,-23.37685016442997
0.021578947368421,0.001578947368421,311907,-63.67531000310985,-66.02157492074241,19719,-70.39818542040221,-70.3243506204295,277405,-64.88701607140297,-65.91012360542327,14783,-31.969857643748572,-35.88596946651925
0.0342105263157894,0.0094736842105263,319996,-23.35478496958742,-23.409718004859922,0,,,0,,,319996,-23.35478496958742,-23.409718004859922
0.021578947368421,0.0,311971,-63.67754825640767,-66.07212252603694,0,,,297202,-65.25951089675445,-66.4006584013638,14769,-31.843134238103207,-35.99719574040064
-0.01,0.0252631578947368,319848,-96.16308268732239,-96.07300691433343,311694,-96.9822837949686,-96.52123907256774,7924,-65.89575026500198,-66.70326959985749,230,-28.76426559081879,-30.70751465491478
-0.0036842105263157,0.0236842105263157,319488,-76.12397308444248,-83.86217306784779,240512,-89.67442992725007,-88.79265368813267,18172,-65.35448624787955,-66.32945292885319,60804,-25.74333428792716,-25.76320679988969
0.0405263157894736,0.0173684210526315,319996,-22.797596616213774,-22.928974925827884,0,,,0,,,319996,-22.797596616213774,-22.928974925827884
-0.0005263157894736,0.0236842105263157,319035,-70.64816009571996,-78.88127459113764,216075,-86.48436617994109,-85.27476875195873,30740,-65.11196401082549,-66.14696587743225,72220,-25.62426696364538,-25.602231569478406
0.05,0.0157894736842105,319996,-22.101025858411838,-22.2263137778493,0,,,0,,,319996,-22.101025858411838,-22.2263137778493
