ou_mean,ou_std,IT5B_V_num_-200_0,IT5B_V_mean_-200_0,IT5B_V_median_-200_0,IT5B_V_num_-200_-70,IT5B_V_mean_-200_-70,IT5B_V_median_-200_-70,IT5B_V_num_-70_-50,IT5B_V_mean_-70_-50,IT5B_V_median_-70_-50,IT5B_V_num_-50_0,IT5B_V_mean_-50_0,IT5B_V_median_-50_0,IT6_V_num_-200_0,IT6_V_mean_-200_0,IT6_V_median_-200_0,IT6_V_num_-200_-70,IT6_V_mean_-200_-70,IT6_V_median_-200_-70,IT6_V_num_-70_-50,IT6_V_mean_-70_-50,IT6_V_median_-70_-50,IT6_V_num_-50_0,IT6_V_mean_-50_0,IT6_V_median_-50_0
0.0055263157894736,0.0168421052631578,318502,-63.510066802122225,-71.84857377245939,177568,-79.26532707637871,-78.42883777732948,64316,-65.16371890347331,-66.06446185749414,76618,-25.607924421354333,-25.486072657436857,318767,-51.826152281683555,-63.32913662053592,128888,-79.17017367286142,-78.43131801090831,41641,-65.24306078217963,-66.21559307527832,148238,-24.2825418988176,-24.28988649428151
-0.005,0.0094736842105263,319996,-88.88595769916317,-88.8681260468216,319956,-88.88849013294066,-88.86912601198007,40,-68.62927315634226,-68.51782074760592,0,,,319996,-88.66540147184942,-88.72877765740947,319950,-88.66815847777684,-88.72953301070953,46,-69.48922654842082,-69.40450993062396,0,,
-0.005,0.0105263157894736,319996,-88.83944210564096,-88.81950392881134,319866,-88.84780206237001,-88.82229698053186,130,-68.26970426647802,-68.57576390941404,0,,,319996,-88.63092904942027,-88.70153509335623,319798,-88.64323836009355,-88.70609530868398,198,-68.7496516014802,-68.78035407382816,0,,
0.0134210526315789,0.0042105263157894,315784,-67.2348884943801,-68.4529688759569,131306,-73.48017564626515,-73.4026983636071,175611,-64.2655801552774,-64.73732417195845,8867,-33.55940997546128,-38.24154479141593,315012,-67.8448348388811,-69.33502146572916,145835,-73.57940013828411,-73.52461219712897,160682,-64.53286629088679,-65.16147166723283,8495,-32.044175602905504,-36.29893513170073
0.0002631578947368,0.0147368421052631,319772,-80.61759443009113,-80.66563450176821,291653,-82.0491224501374,-81.56713446411077,27735,-66.25506176104878,-67.06907778666066,384,-30.709786996077483,-34.02052837781363,319617,-80.42553191444188,-80.5220845799222,289514,-81.97325846054152,-81.48643478330186,29503,-66.26659472098275,-67.12228607382002,600,-29.829899833006444,-32.69220822948607
0.0094736842105263,0.0042105263157894,318305,-67.67443195869075,-67.10726731997228,93643,-74.73295109364588,-74.85842876339505,221233,-65.22403161590056,-65.61634694578306,3429,-33.007914513923076,-37.56024851772447,317120,-68.96023583197831,-68.90096009519917,138967,-75.08633831102799,-75.15068593118257,173244,-65.08378375226793,-65.6132753716599,4909,-32.342998286907644,-36.51242002976249
0.0160526315789473,0.0021052631578947,314694,-66.08273852058895,-67.82378996448263,116685,-72.30511684646726,-72.35148861575033,186486,-64.18334004572188,-64.77817886244979,11523,-33.81275752856965,-38.523774118245086,313933,-66.59281794802446,-68.5615256258616,128350,-72.33851483520895,-72.38591610622115,175163,-64.43705834074932,-65.13761733410591,10420,-32.058184993994224,-36.407122960260516
0.0068421052631578,0.0157894736842105,318084,-65.73482337722022,-71.92567472604028,182337,-78.06679609137096,-77.2938821425863,80834,-65.09297289392704,-66.06532927897035,54913,-25.731699038473685,-25.464666663827693,317342,-73.98720479651683,-74.47013169510886,223564,-78.38154959954909,-77.50518824760864,89584,-65.07803481180018,-65.96352775914582,4194,-30.043900639565585,-32.82762835012759
0.0160526315789473,0.0178947368421052,318562,-34.54709621043659,-25.414120526573527,34796,-76.22268138224675,-75.1937077694827,33758,-63.89710933195633,-64.67705060663937,250008,-24.78364302256033,-24.803283295748145,319565,-26.397875538872206,-23.732309330858627,10185,-76.66176577787432,-75.60640972120022,9320,-64.34638400911426,-65.11702101072576,300060,-23.51305976527062,-23.5935132215078
-0.005,0.0168421052631578,319958,-88.58000628001513,-88.5429018787558,313911,-89.00189476850134,-88.76740353367995,5990,-67.03293814951009,-67.82653114211841,57,-29.48352895616659,-31.756180498407595,319954,-88.43982196643856,-88.55922041692952,313217,-88.91205572893078,-88.81075791993587,6674,-66.83490638853509,-67.68779214765107,63,-29.385285147540923,-31.37447591129515
